imputed_ids	WGS_ids	F-score	concordance_P0	r2	precision	recall	TP	TN	FP	FN	TP_ratio	TN_ratio	FP_ratio	FN_ratio	RMSE
HG00096	HG00096	0.998	0.996	0.974	0.998	0.998	419098.0	380705.0	766.0	1005.0	0.998	0.997	0.002	0.003	0.069
HG00097	HG00097	0.998	0.996	0.979	0.999	0.998	421990.0	378092.0	489.0	1003.0	0.999	0.997	0.001	0.003	0.06
HG00099	HG00099	0.999	0.999	0.993	1.0	0.999	423561.0	377531.0	157.0	325.0	1.0	0.999	0.0	0.001	0.035
HG00100	HG00100	0.999	0.997	0.985	0.999	0.998	423277.0	377057.0	524.0	716.0	0.999	0.998	0.001	0.002	0.05
HG00101	HG00101	0.999	0.998	0.989	0.999	0.999	423975.0	376797.0	307.0	495.0	0.999	0.999	0.001	0.001	0.044
HG00102	HG00102	0.999	0.998	0.988	0.999	0.999	424963.0	375712.0	413.0	486.0	0.999	0.999	0.001	0.001	0.044
HG00103	HG00103	0.999	0.998	0.988	0.999	0.999	424705.0	376072.0	339.0	458.0	0.999	0.999	0.001	0.001	0.043
HG00105	HG00105	0.999	0.998	0.987	0.999	0.999	422922.0	377658.0	423.0	571.0	0.999	0.998	0.001	0.002	0.046
HG00106	HG00106	0.999	0.998	0.991	0.999	0.999	421973.0	378918.0	274.0	409.0	0.999	0.999	0.001	0.001	0.039
HG00107	HG00107	0.999	0.998	0.989	0.999	0.999	423988.0	376775.0	338.0	473.0	0.999	0.999	0.001	0.001	0.043
HG00108	HG00108	0.999	0.998	0.99	0.999	0.999	421146.0	379632.0	314.0	482.0	0.999	0.999	0.001	0.001	0.042
HG00109	HG00109	0.999	0.999	0.992	1.0	0.999	423549.0	377482.0	188.0	355.0	1.0	0.999	0.0	0.001	0.036
HG00110	HG00110	0.999	0.998	0.991	0.999	0.999	424904.0	375971.0	231.0	468.0	0.999	0.999	0.001	0.001	0.039
HG00111	HG00111	0.999	0.998	0.989	0.999	0.999	423404.0	377384.0	284.0	502.0	0.999	0.999	0.001	0.001	0.042
HG00112	HG00112	0.999	0.998	0.989	0.999	0.999	423096.0	377666.0	352.0	460.0	0.999	0.999	0.001	0.001	0.042
HG00113	HG00113	0.999	0.998	0.991	1.0	0.999	422755.0	378155.0	209.0	455.0	1.0	0.999	0.0	0.001	0.038
HG00114	HG00114	0.999	0.998	0.99	0.999	0.999	421899.0	379027.0	302.0	346.0	0.999	0.999	0.001	0.001	0.039
HG00115	HG00115	0.999	0.998	0.989	0.999	0.998	423862.0	376809.0	243.0	660.0	0.999	0.998	0.001	0.002	0.043
HG00116	HG00116	0.999	0.999	0.992	1.0	0.999	421690.0	379338.0	178.0	368.0	1.0	0.999	0.0	0.001	0.035
HG00117	HG00117	0.999	0.998	0.989	0.999	0.999	416935.0	383665.0	542.0	432.0	0.999	0.999	0.001	0.001	0.045
HG00118	HG00118	0.999	0.998	0.986	0.999	0.999	423554.0	377078.0	414.0	528.0	0.999	0.999	0.001	0.001	0.047
HG00119	HG00119	0.999	0.999	0.992	1.0	0.999	423707.0	377396.0	194.0	277.0	1.0	0.999	0.0	0.001	0.035
